,0,1,2,3,4,5,6,7,8,9
0,..((.((.(((...((((((((((.......))))).))..........)))..))).)))).(((.((((((..((((.....))))..))))))))).,-12,-54,1,0.36363636363636365,0.2857142857142857,0.14285714285714285,1,0.0,<-- taken
1,..((.(..((((..((((((((((.......))))).))..........))).))))..))).(((.((((((..((((.....))))..))))))))).,-7,-59,1,0.18181818181818182,0.3333333333333333,0.14285714285714285,1,0.03448275862068964,
2,..((.((.((((..(((((((((.........)))).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-24,-32,0,0.8181818181818182,0.23809523809523808,0.14285714285714285,1,0.03448275862068964,
3,..((.((.((((..((((((((((.......))))).))..........))).)))).))))..((.((((((..((((.....))))..))))))))..,-64,-99,0,0.9545454545454546,0.047619047619047616,0.14285714285714285,1,0.10344827586206898,
4,..((.((.((((..(((((.((((.......))))..))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-20,-36,1,0.6363636363636364,0.3333333333333333,0.14285714285714285,1,0.20689655172413793,
5,..((.((.((((..((((.(((((.......)))))..)..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-19,-38,1,0.5909090909090909,0.23809523809523808,0.14285714285714285,1,0.36206896551724144,
6,..((.((..(((..((((((((((.......))))).))..........))).)))..)))).(((.((((((..((((.....))))..))))))))).,-9,-57,1,0.22727272727272727,0.2857142857142857,0.14285714285714285,1,0.3793103448275862,
7,..((.((.((((...(((((((((.......))))).))..........))..)))).)))).(((.((((((..((((.....))))..))))))))).,-15,-52,1,0.4090909090909091,0.23809523809523808,0.14285714285714285,1,0.3793103448275862,
8,...(.((.((((..((((((((((.......))))).))..........))).)))).)))..(((.((((((..((((.....))))..))))))))).,-3,-62,1,0.045454545454545456,0.19047619047619047,0.14285714285714285,1,0.4137931034482759,
9,..((.((.((((..((((((((((.......))))).))..(......)))).)))).)))).(((.((((((..((((.....))))..))))))))).,42,49,1,0.8636363636363636,0.09523809523809523,0.14285714285714285,0,0.43103448275862066,
10,..((..(.((((..((((((((((.......))))).))..........))).)))).).)).(((.((((((..((((.....))))..))))))))).,-6,-60,1,0.13636363636363635,0.2857142857142857,0.14285714285714285,1,0.4482758620689655,
11,..(..((.((((..((((((((((.......))))).))..........))).)))).)).).(((.((((((..((((.....))))..))))))))).,-4,-61,1,0.09090909090909091,0.19047619047619047,0.14285714285714285,1,0.5172413793103449,
12,..((.((.((.(..((((((((((.......))))).))..........))).).)).)))).(((.((((((..((((.....))))..))))))))).,-11,-55,1,0.3181818181818182,0.2857142857142857,0.14285714285714285,0,0.5172413793103449,
13,..((.((.((((..((.(((((((.......))))).))...........)).)))).)))).(((.((((((..((((.....))))..))))))))).,-17,-50,1,0.5,0.14285714285714285,0.14285714285714285,1,0.5172413793103449,
14,..((.((.((((..(((.((((((.......))))).)...........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-18,-39,1,0.5454545454545454,0.19047619047619047,0.14285714285714285,1,0.5172413793103449,
15,..((.((.((((..((((((((.(.......).))).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-23,-33,0,0.7727272727272727,0.23809523809523808,0.14285714285714285,0,0.5689655172413793,
16,..((.((.((((..((((((((((.......))))).))...(....).))).)))).)))).(((.((((((..((((.....))))..))))))))).,43,48,1,0.9090909090909091,0.09523809523809523,0.14285714285714285,0,0.5862068965517242,
17,..((.((.((((..(.((((((((.......))))).))..........).).)))).)))).(((.((((((..((((.....))))..))))))))).,-16,-51,1,0.45454545454545453,0.19047619047619047,0.14285714285714285,0,0.7068965517241379,
18,..((.((.((((..((((((.(((.......))).).))..........))).)))).)))).(((.((((((..((((.....))))..))))))))).,-21,-35,0,0.6818181818181818,0.3333333333333333,0.14285714285714285,0,0.8793103448275863,
