,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,new_runtimes,new_results,py_runtimes,py_results,bp_dist
0,0.1373,-138.7,0.1803,-137.6,0.212,-138.7,0.2598,-139.0,0.1738,-140.0,0.1397,-139.0,41.0
1,0.3407,-142.8,0.3494,-143.9,0.7068,-143.9,0.8952,-143.9,0.5909,-144.0,0.4909,-143.9,65.0
2,2.6118,-110.3,1.79,-107.2,3.6363,-110.3,4.7938,-110.3,1.399,-115.5,4.118,-110.3,137.0
3,6.4831,-116.8,6.2575,-119.9,9.5731,-119.9,10.9131,-121.49,12.4342,-119.9,9.2691,-121.49,187.0
4,1.3265,-116.1,1.5598,-116.4,2.6453,-116.4,1.9841,-118.2,1.4072,-117.8,1.7834,-118.2,115.0
5,0.9436,-122.5,1.0251,-122.5,1.3646,-122.5,2.1812,-122.5,1.2836,-122.8,1.6766,-122.5,104.0
6,0.3418,-111.12,0.3401,-111.12,0.4498,-111.12,1.4084,-111.12,0.3811,-111.32,0.5587,-111.12,74.0
7,0.6279,-129.8,0.6815,-127.9,0.9301,-129.8,2.0798,-129.8,0.2995,-133.4,1.1073,-129.8,86.0
8,0.521,-150.7,0.848,-154.8,1.0628,-154.8,1.2428,-154.8,0.2371,-155.7,1.0618,-154.8,95.0
9,0.3943,-137.6,0.3002,-138.5,0.6041,-138.5,1.1258,-138.5,0.5221,-141.2,0.5385,-138.5,75.0
10,0.0934,-129.5,0.0997,-129.4,0.1229,-129.5,0.1417,-129.5,0.0947,-130.4,0.0735,-129.5,40.0
11,0.1006,-163.3,0.1215,-163.3,0.3017,-163.3,0.2641,-163.3,0.2024,-163.3,0.1286,-163.3,43.0
12,1.2136,-136.6,0.6824,-134.3,1.8284,-136.6,1.3353,-135.8,0.6967,-136.7,1.1844,-135.8,97.0
13,1.1873,-135.2,0.9102,-130.8,2.0491,-135.2,1.0414,-135.2,0.5803,-136.0,1.5494,-135.2,106.0
14,1.7489,-107.0,2.6629,-111.2,3.9732,-111.2,4.2994,-111.2,2.0691,-112.4,4.0515,-111.2,136.0
15,1.9209,-125.5,1.0967,-124.4,3.2336,-125.5,2.7816,-124.4,1.314,-126.5,1.8655,-124.4,126.0
16,0.2127,-129.9,0.3263,-130.4,0.6111,-130.4,0.6315,-130.4,0.307,-130.5,0.3323,-130.4,66.0
17,0.2601,-131.8,0.5678,-131.2,0.6294,-131.8,0.8252,-131.2,0.2012,-132.9,1.3409,-131.2,82.0
18,1.0459,-147.5,1.1649,-147.8,1.8749,-147.8,1.9148,-147.8,1.6551,-148.5,2.4825,-147.8,113.0
19,0.4047,-134.6,0.3278,-133.5,0.7931,-134.6,0.8766,-133.5,0.7324,-133.8,0.5998,-133.5,76.0
20,2.3625,-116.6,2.5534,-121.3,3.928,-121.3,5.7618,-121.3,1.6204,-124.9,4.9827,-121.3,134.0
21,8.5896,-75.5,12.2377,-89.1,18.3308,-89.1,18.8626,-89.1,16.6504,-87.8,18.9288,-89.1,220.0
22,0.4168,-125.1,0.6595,-123.7,0.9298,-125.1,0.7049,-125.1,0.2726,-125.9,0.5879,-125.1,75.0
23,0.4426,-128.3,0.5417,-128.3,0.5757,-128.3,0.3793,-128.3,0.2646,-129.2,0.2864,-128.3,65.0
24,0.1116,-139.4,0.1085,-139.4,0.1437,-139.4,0.2472,-139.4,0.1196,-139.4,0.1723,-139.4,44.0
25,0.3596,-131.6,0.3279,-132.1,0.4431,-132.1,0.2117,-132.1,0.1713,-133.0,0.1327,-132.1,49.0
26,0.0924,-114.6,0.1014,-114.6,0.1335,-114.6,0.1551,-114.6,0.1035,-114.8,0.0754,-114.6,38.0
27,0.16,-146.3,0.1417,-146.0,0.2442,-146.3,0.4486,-146.3,0.2832,-146.3,0.2715,-146.3,55.0
28,8.8294,-130.2,7.4136,-123.1,12.9723,-130.2,15.4209,-130.2,15.0754,-128.6,15.0152,-130.2,200.0
29,3.5317,-108.6,3.3728,-113.3,5.6171,-113.3,7.4711,-113.3,6.1919,-115.2,7.6159,-113.3,153.0
30,0.1456,-143.0,0.121,-142.0,0.1734,-143.0,0.4208,-143.0,0.1586,-143.9,0.2739,-143.0,50.0
31,0.2687,-142.4,0.2588,-141.1,0.2887,-142.4,0.1777,-142.4,0.1094,-142.8,0.105,-142.4,46.0
32,1.2066,-126.27,0.9566,-125.17,2.2005,-126.27,1.7923,-125.17,0.4317,-126.7,1.7151,-125.17,107.0
33,0.083,-159.8,0.0767,-158.9,0.0924,-159.8,0.1112,-159.8,0.0949,-160.2,0.0472,-159.8,35.0
34,0.2999,-146.5,0.2921,-146.5,0.4345,-146.5,0.505,-146.5,0.2755,-147.4,0.1622,-146.5,54.0
35,0.1317,-142.1,0.1782,-142.8,0.2247,-142.8,0.2022,-142.3,0.1946,-142.8,0.1226,-142.3,57.0
36,0.1799,-143.0,0.3522,-143.0,0.4703,-143.0,0.4504,-143.2,0.3314,-144.5,0.1522,-143.2,51.0
37,2.0798,-107.5,2.1641,-106.2,3.6926,-107.5,5.7052,-107.5,2.5137,-108.9,4.4425,-107.5,135.0
38,0.0684,-146.0,0.077,-146.0,0.0891,-146.0,0.0854,-146.0,0.0826,-146.0,0.0234,-146.0,33.0
39,8.0242,-100.9,9.519,-105.5,11.555,-105.5,14.033,-102.0,15.5129,-106.9,12.8285,-102.0,198.0
40,10.3216,-90.9,10.6132,-95.1,15.8948,-95.1,22.04,-95.1,12.834,-93.4,22.9286,-95.1,213.0
41,1.7801,-142.4,2.0869,-138.1,2.577,-142.4,2.5323,-138.2,0.448,-146.7,1.9729,-138.2,109.0
42,26.6709,-83.24,27.7954,-83.94,35.9163,-83.94,56.5664,-83.94,58.7778,-84.14,50.7163,-83.94,270.0
43,0.7152,-104.2,1.1725,-105.9,1.2955,-105.9,2.1613,-105.9,0.3322,-109.3,1.5806,-105.9,92.0
44,1.1542,-127.0,0.6795,-122.81,0.6901,-127.0,1.911,-122.81,0.4077,-131.1,0.8072,-122.81,86.0
45,0.1623,-144.7,0.1918,-145.3,0.5268,-145.3,0.5509,-144.7,0.4357,-145.7,0.2121,-144.7,62.0
46,2.68,-97.7,4.0814,-95.9,5.2882,-97.7,8.399,-97.7,2.5819,-99.6,7.1867,-97.7,145.0
47,1.7924,-118.4,1.6747,-114.0,1.9944,-118.4,2.1231,-116.2,1.1287,-119.1,1.7049,-116.2,109.0
48,2.3387,-140.24,3.3416,-143.8,3.9986,-143.8,6.1346,-143.8,3.1522,-144.5,6.2154,-143.8,136.0
49,2.9616,-117.0,2.3641,-119.7,3.8636,-119.7,6.5917,-120.5,3.4378,-120.5,5.4535,-120.5,132.0
50,1.5215,-111.1,1.08,-110.7,2.3171,-111.1,2.7254,-111.0,2.4206,-111.1,1.9901,-111.0,119.0
51,2.7888,-110.3,3.3647,-114.3,5.4632,-114.3,7.8524,-114.3,3.4996,-115.7,7.5113,-114.3,154.0
