,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,py_runtimes,py_results
0,0.4092,-72.7,0.3754,-72.7,0.46,-72.7,0.5662,-72.7,0.3963,-72.7
1,0.1468,-58.9,0.1312,-57.45,0.1306,-58.9,0.1408,-58.9,0.07,-58.9
2,0.2079,-83.8,0.1645,-83.8,0.1898,-83.8,0.2385,-83.8,0.159,-83.8
3,0.0686,-77.6,0.15,-78.0,0.1677,-78.0,0.342,-78.0,0.0179,-78.0
4,1.5764,-46.2,1.0156,-45.2,2.0771,-46.2,2.6588,-46.2,1.6242,-46.2
5,0.1328,-84.3,0.1037,-84.5,0.0878,-84.5,0.1659,-84.5,0.0445,-84.5
6,0.1161,-76.2,0.0864,-74.7,0.1689,-76.2,0.1271,-76.2,0.0725,-76.2
7,0.058,-69.7,0.2181,-69.7,0.2901,-69.7,0.3249,-69.7,0.0144,-69.7
8,0.2369,-66.5,0.0922,-66.5,0.1551,-66.5,0.194,-66.5,0.0875,-66.5
9,0.1059,-81.2,0.2077,-81.2,0.215,-81.2,0.2083,-81.2,0.0092,-81.2
10,0.365,-64.9,0.1485,-65.4,0.1763,-65.4,0.2461,-64.0,0.1237,-64.0
11,0.6371,-57.77,0.8718,-59.0,1.0665,-59.0,1.4405,-59.0,1.1845,-59.0
12,1.8404,-58.9,1.9083,-60.6,3.0132,-60.6,3.432,-60.6,3.9183,-60.6
13,0.0754,-78.9,0.2105,-77.6,0.1254,-78.9,0.099,-78.9,0.0408,-78.9
14,0.6742,-81.1,0.6414,-81.4,0.8933,-81.4,1.9579,-81.4,0.9929,-81.4
15,0.4323,-84.7,0.5312,-85.0,0.4904,-85.0,0.4743,-84.7,0.2058,-84.7
16,0.5008,-54.0,0.578,-54.0,0.6733,-54.0,1.0315,-54.0,1.4051,-54.0
17,1.0513,-39.7,1.479,-43.7,1.8921,-43.7,2.1081,-43.7,1.8676,-43.7
18,0.2413,-81.3,0.2009,-80.8,0.2697,-81.3,0.4327,-81.3,0.3611,-81.3
19,0.0736,-89.7,0.0593,-89.3,0.0749,-89.7,0.0815,-89.7,0.0206,-89.7
20,0.0763,-75.4,0.2704,-76.3,0.07,-76.3,0.0677,-75.9,0.0204,-75.9
21,0.675,-74.1,0.2672,-73.11,0.588,-74.1,1.1462,-73.67,0.6547,-73.67
22,0.1849,-61.7,0.2059,-60.6,0.1463,-61.7,0.1759,-61.7,0.1209,-61.7
23,2.3308,-41.0,2.8419,-36.9,3.6133,-41.0,5.1866,-41.0,4.7568,-41.0
24,0.8259,-53.7,0.9419,-54.8,1.1023,-54.8,1.4704,-54.8,1.8782,-54.8
25,0.9366,-71.4,0.3088,-70.7,1.0949,-71.4,1.5003,-71.4,0.7196,-71.4
26,0.176,-71.3,0.2209,-71.3,0.265,-71.3,0.3637,-71.3,0.2668,-71.3
27,0.3445,-72.7,0.4257,-72.9,0.4078,-72.9,0.7253,-72.9,0.5441,-72.9
28,0.0619,-69.6,0.0487,-69.6,0.0509,-69.6,0.0491,-69.6,0.0028,-69.6
29,0.1671,-88.8,0.2147,-88.9,0.195,-88.9,0.2149,-88.8,0.1511,-88.8
30,0.6811,-58.4,0.7386,-59.3,1.2008,-59.3,1.59,-59.3,0.9601,-59.3
31,0.1287,-75.3,0.158,-75.3,0.1715,-75.3,0.1898,-75.4,0.1227,-75.4
32,0.1959,-66.9,0.1644,-65.6,0.2277,-66.9,0.3337,-66.9,0.2322,-66.9
33,0.1217,-71.0,0.2151,-71.0,0.1546,-71.0,0.1181,-71.0,0.0694,-71.0
34,0.3353,-60.4,0.26,-58.9,0.4901,-60.4,0.5721,-59.9,0.8157,-59.9
35,2.253,-53.1,2.2735,-48.8,2.9145,-53.1,1.8746,-52.9,1.648,-52.9
36,0.1497,-70.5,0.2208,-70.5,0.1934,-70.5,0.2113,-70.5,0.1219,-70.5
37,1.9288,-42.4,1.98,-41.2,3.4618,-42.4,4.7293,-42.4,4.3027,-42.4
38,0.5577,-63.3,0.9777,-63.3,1.9544,-63.3,1.7162,-63.3,1.3681,-63.3
39,0.464,-62.7,0.5012,-60.1,0.5885,-62.7,0.8992,-62.7,0.7053,-62.7
40,1.2891,-68.7,2.0547,-66.6,1.6672,-68.7,2.0179,-66.6,2.59,-66.6
41,0.2859,-70.6,0.1939,-70.6,0.2266,-70.6,0.3246,-70.6,0.2283,-70.6
42,0.6138,-47.4,0.5864,-45.4,0.7935,-47.4,0.9648,-47.4,1.5356,-47.4
43,0.1301,-66.4,0.1282,-66.4,0.051,-66.4,0.0509,-66.4,0.0048,-66.4
44,0.2458,-81.3,0.2947,-81.3,0.3286,-81.3,0.5607,-81.3,0.9573,-81.3
45,0.5274,-71.1,0.3933,-69.4,0.2822,-71.1,0.2839,-71.1,0.2221,-71.1
46,0.0879,-86.1,0.0697,-86.1,0.0972,-86.1,0.1033,-86.1,0.0507,-86.1
47,0.3438,-72.1,0.2319,-70.3,0.4029,-72.1,0.7897,-72.1,1.0388,-72.1
48,0.9043,-66.4,0.7139,-66.4,1.4747,-66.4,1.5692,-66.4,1.9717,-66.4
49,0.1178,-90.2,0.1576,-90.2,0.1689,-90.2,0.1722,-90.2,0.0052,-90.2
