,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,py_runtimes,py_results
0,0.2422,-72.7,0.158,-72.7,0.3122,-72.7,0.3124,-72.7,0.2745,-72.7
1,0.0757,-58.9,0.061,-57.45,0.1103,-58.9,0.0941,-58.9,0.054,-58.9
2,0.0894,-83.8,0.1007,-83.8,0.1322,-83.8,0.1466,-83.8,0.1079,-83.8
3,0.0409,-77.6,0.0403,-78.0,0.044,-78.0,0.0452,-78.0,0.0098,-78.0
4,0.8953,-46.2,0.5997,-45.2,1.2247,-46.2,1.1314,-46.2,1.0712,-46.2
5,0.0544,-84.3,0.0575,-84.5,0.0638,-84.5,0.0767,-84.5,0.0385,-84.5
6,0.0603,-76.2,0.0586,-74.7,0.0715,-76.2,0.0898,-76.2,0.0497,-76.2
7,0.0379,-69.7,0.039,-69.7,0.0421,-69.7,0.0409,-69.7,0.005,-69.7
8,0.0776,-66.5,0.0635,-66.5,0.0932,-66.5,0.0988,-66.5,0.0631,-66.5
9,0.0381,-81.2,0.0376,-81.2,0.0394,-81.2,0.0387,-81.2,0.0027,-81.2
10,0.075,-64.9,0.0911,-65.4,0.1075,-65.4,0.1334,-64.0,0.0955,-64.0
11,0.3528,-57.77,0.5008,-59.0,0.6949,-59.0,0.7919,-59.0,0.756,-59.0
12,1.0841,-58.9,1.1733,-60.6,1.5211,-60.6,2.3432,-60.6,2.2215,-60.6
13,0.0455,-78.9,0.0508,-77.6,0.0618,-78.9,0.0651,-78.9,0.0306,-78.9
14,0.3864,-81.1,0.3616,-81.4,0.5668,-81.4,0.6931,-81.4,0.6501,-81.4
15,0.1113,-84.7,0.1163,-85.0,0.1687,-85.0,0.1763,-84.7,0.1368,-84.7
16,0.2922,-54.0,0.2571,-54.0,0.4271,-54.0,0.5156,-54.0,0.4625,-54.0
17,0.6587,-39.7,0.8901,-43.7,1.1741,-43.7,1.2407,-43.7,1.2353,-43.7
18,0.133,-81.3,0.1263,-80.8,0.1804,-81.3,0.2747,-81.3,0.2361,-81.3
19,0.0444,-89.7,0.0443,-89.3,0.0518,-89.7,0.0521,-89.7,0.0173,-89.7
20,0.045,-75.4,0.0441,-76.3,0.0506,-76.3,0.0504,-75.9,0.0154,-75.9
21,0.2981,-74.1,0.157,-73.11,0.3958,-74.1,0.3267,-73.67,0.2828,-73.67
22,0.0781,-61.7,0.0746,-60.6,0.0997,-61.7,0.1163,-61.7,0.0806,-61.7
23,1.4072,-41.0,1.2924,-36.9,2.1654,-41.0,2.8754,-41.0,2.7427,-41.0
24,0.4704,-53.7,0.4818,-54.8,0.7252,-54.8,0.8702,-54.8,0.8201,-54.8
25,0.4062,-71.4,0.1829,-70.7,0.5422,-71.4,0.5007,-71.4,0.4722,-71.4
26,0.1065,-71.3,0.1251,-71.3,0.1588,-71.3,0.2107,-71.3,0.1729,-71.3
27,0.1904,-72.7,0.2036,-72.9,0.2811,-72.9,0.3979,-72.9,0.3556,-72.9
28,0.0358,-69.6,0.034,-69.6,0.0361,-69.6,0.0356,-69.6,0.0021,-69.6
29,0.0977,-88.8,0.0917,-88.9,0.1316,-88.9,0.1388,-88.8,0.1036,-88.8
30,0.4015,-58.4,0.3606,-59.3,0.604,-59.3,0.6745,-59.3,0.628,-59.3
31,0.0746,-75.3,0.0863,-75.3,0.1194,-75.3,0.1208,-75.4,0.084,-75.4
32,0.1113,-66.9,0.0901,-65.6,0.1656,-66.9,0.1985,-66.9,0.1569,-66.9
33,0.0551,-71.0,0.0651,-71.0,0.0919,-71.0,0.0899,-71.0,0.0496,-71.0
34,0.1962,-60.4,0.1501,-58.9,0.2471,-60.4,0.3217,-59.9,0.2841,-59.9
35,1.0348,-53.1,0.88,-48.8,1.6569,-53.1,1.1151,-52.9,1.0899,-52.9
36,0.0755,-70.5,0.0996,-70.5,0.1429,-70.5,0.1181,-70.5,0.082,-70.5
37,1.1696,-42.4,0.9721,-41.2,1.6308,-42.4,2.3559,-42.4,2.3219,-42.4
38,0.3393,-63.3,0.5619,-63.3,0.7286,-63.3,0.8986,-63.3,0.8404,-63.3
39,0.2613,-62.7,0.2773,-60.1,0.4026,-62.7,0.5011,-62.7,0.4542,-62.7
40,0.7402,-68.7,0.7542,-66.6,1.1117,-68.7,1.2102,-66.6,1.1726,-66.6
41,0.1115,-70.6,0.1193,-70.6,0.1661,-70.6,0.1882,-70.6,0.1507,-70.6
42,0.3328,-47.4,0.2942,-45.4,0.466,-47.4,0.577,-47.4,0.5376,-47.4
43,0.0384,-66.4,0.0357,-66.4,0.0408,-66.4,0.0406,-66.4,0.0037,-66.4
44,0.1419,-81.3,0.165,-81.3,0.2342,-81.3,0.3495,-81.3,0.2969,-81.3
45,0.1413,-71.1,0.1192,-69.4,0.1939,-71.1,0.1879,-71.1,0.1479,-71.1
46,0.0586,-86.1,0.0507,-86.1,0.0718,-86.1,0.0756,-86.1,0.0367,-86.1
47,0.1949,-72.1,0.1519,-70.3,0.3095,-72.1,0.3591,-72.1,0.3124,-72.1
48,0.3798,-66.4,0.4091,-66.4,0.6396,-66.4,0.7975,-66.4,0.7361,-66.4
49,0.0385,-90.2,0.0367,-90.2,0.0395,-90.2,0.0383,-90.2,0.0015,-90.2
50,0.0601,-66.8,0.0561,-67.4,0.0679,-67.4,0.0839,-67.4,0.0488,-67.4
51,0.1904,-59.3,0.2712,-59.7,0.4112,-59.7,0.4632,-59.8,0.4072,-59.8
52,0.2357,-67.8,0.1342,-67.8,0.2993,-67.8,0.324,-67.8,0.2877,-67.8
53,1.1895,-52.6,1.0636,-52.1,1.7731,-52.6,2.4229,-52.6,2.3667,-52.6
54,0.0409,-93.4,0.0405,-93.4,0.0421,-93.4,0.0452,-93.4,0.0094,-93.4
55,0.0541,-78.3,0.0493,-78.3,0.0672,-78.3,0.0738,-78.3,0.0396,-78.3
56,0.0667,-66.1,0.0605,-66.1,0.0811,-66.1,0.0988,-66.1,0.0625,-66.1
57,0.1695,-76.3,0.1607,-74.1,0.2328,-76.3,0.304,-76.3,0.2655,-76.3
58,0.0472,-69.2,0.0444,-68.0,0.0573,-69.2,0.0568,-69.2,0.0211,-69.2
59,0.04,-82.7,0.0391,-82.7,0.0415,-82.7,0.0424,-82.7,0.0071,-82.7
60,0.2236,-75.2,0.1957,-72.1,0.3192,-75.2,0.3438,-72.7,0.3141,-72.7
61,0.0532,-72.5,0.0654,-74.1,0.0852,-74.1,0.0864,-74.1,0.0481,-74.1
