,single_1_runtimes,single_1_results,single_2_runtimes,single_2_results,mp_runtimes,mp_results,cpp_orig_runtimes,cpp_orig_results,new_runtimes,new_results,py_runtimes,py_results,bp_dist
0,0.1193,-103.0,0.1355,-107.1,0.1378,-103.0,0.1563,-107.1,0.1433,-107.1,0.0599,-107.1,35.0
1,1.5424,-85.8,2.5915,-90.7,2.1248,-85.8,3.1442,-90.7,0.6985,-93.8,2.2892,-90.7,123.0
2,0.7813,-113.8,0.5491,-110.9,0.4079,-113.8,0.6628,-113.8,0.1959,-114.4,0.5249,-113.8,74.0
3,0.1117,-98.4,0.1322,-98.6,0.1222,-98.4,0.1654,-98.4,0.1156,-98.8,0.0943,-98.4,50.0
4,0.0589,-130.7,0.0572,-130.7,0.0766,-130.7,0.0624,-130.7,0.067,-130.7,0.0112,-130.7,21.0
5,5.356,-80.17,5.0648,-75.5,6.3974,-80.17,9.807,-80.17,2.7583,-87.1,9.0723,-80.17,173.0
6,5.2849,-67.0,6.5145,-73.6,6.1553,-67.0,11.6145,-68.7,4.2422,-78.8,11.7233,-68.7,182.0
7,0.2841,-96.5,0.268,-97.3,0.2978,-96.5,0.8041,-97.3,0.3336,-98.4,0.8646,-97.3,67.0
8,4.999,-57.1,6.8168,-56.0,5.7266,-57.1,12.5632,-55.9,11.0333,-57.1,11.7529,-55.9,180.0
9,0.0764,-106.5,0.0721,-106.9,0.0903,-106.5,0.1035,-106.9,0.0888,-107.0,0.044,-106.9,34.0
10,0.0745,-111.9,0.0707,-111.6,0.0906,-111.9,0.0851,-111.9,0.0819,-112.0,0.0326,-111.9,29.0
11,0.2776,-123.7,0.3711,-124.8,0.669,-123.7,0.588,-124.8,0.9092,-125.2,0.4743,-124.8,76.0
12,3.965,-61.44,5.0387,-62.84,4.1367,-61.44,8.7619,-61.44,2.9093,-65.5,8.5708,-61.44,169.0
13,0.064,-109.2,0.0508,-109.2,0.0794,-109.2,0.062,-109.2,0.0665,-109.2,0.0093,-109.2,25.0
14,4.2054,-108.7,2.2757,-107.7,4.3126,-108.7,6.6522,-108.7,4.5719,-111.9,6.0524,-108.7,152.0
15,0.5208,-102.4,0.4711,-107.4,0.5591,-102.4,1.2332,-107.4,0.2851,-107.4,1.1137,-107.4,85.0
16,3.2783,-82.4,3.1539,-81.7,4.3471,-82.4,7.0176,-82.4,6.9122,-82.9,6.6201,-82.4,154.0
17,0.1863,-98.0,0.1846,-99.1,0.2049,-98.0,0.6202,-99.1,0.3319,-100.6,0.4349,-99.1,56.0
18,3.8841,-78.1,2.2178,-75.2,3.679,-78.1,6.2946,-78.1,2.6806,-80.9,5.8259,-78.1,138.0
19,0.6804,-92.0,0.6981,-90.0,0.7414,-92.0,1.2311,-90.0,0.6932,-94.1,1.1025,-90.0,94.0
20,1.1986,-95.7,1.007,-96.8,0.7333,-95.7,2.0882,-96.8,0.4267,-98.7,1.0684,-96.8,93.0
21,1.9339,-102.1,3.2005,-100.6,2.7444,-102.1,4.4327,-102.1,3.0089,-103.0,4.1939,-102.1,139.0
22,3.567,-84.3,3.2194,-74.3,4.4418,-84.3,6.2487,-84.3,5.4226,-84.3,5.7895,-84.3,158.0
23,1.7317,-101.4,1.3022,-106.3,1.0863,-101.4,2.4759,-106.3,1.1856,-105.6,1.8164,-106.3,113.0
24,0.2393,-106.7,0.2739,-106.9,0.268,-106.7,1.1275,-106.9,0.3954,-106.9,0.5946,-106.9,70.0
25,0.2442,-103.9,0.1314,-103.9,0.2858,-103.9,0.3487,-103.9,0.1492,-103.9,0.3462,-103.9,67.0
26,6.0671,-64.3,7.723,-64.44,5.5539,-64.3,12.0507,-63.3,8.5504,-72.84,12.2922,-63.3,193.0
27,0.1419,-101.5,0.1477,-101.5,0.0904,-101.5,0.061,-101.5,0.0675,-101.5,0.0124,-101.5,21.0
